No.,Scheme_Name,Net_Asset_Value,Outstanding_Number_of_ Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued
9952,Jikimu Fund,24683135859.46,203409603.91,121.347,121.347,118.92,08-02-2017
9951,Watoto Fund,3246415961.56,11693794.5,277.6187,277.6187,274.8425,08-02-2017
9950,Wekeza Maisha Fund,3620775334.08,11596382.24,312.2332,312.2332,305.9885,08-02-2017
9949,Umoja Fund,198343823538.81,425126737.64,466.5522,466.5522,461.8867,08-02-2017
9948,Liquid Fund,9378276579.89,59138091.16,158.5827,158.5827,158.5827,09-02-2017
9947,Jikimu Fund,24696175591.34,203454228.01,121.3844,121.3844,118.9567,09-02-2017
9946,Watoto Fund,3248114999.62,11697000.34,277.6879,277.6879,274.911,09-02-2017
9945,Wekeza Maisha Fund,3623161084.52,11600969.77,312.3154,312.3154,306.0691,09-02-2017
9944,Umoja Fund,198398748681.76,425144029.01,466.6624,466.6624,461.9958,09-02-2017
9943,Liquid Fund,9486793032.81,59800206.26,158.6415,158.6415,158.6415,10-02-2017
9942,Jikimu Fund,24708722151.2,203497887.77,121.42,121.42,118.9916,10-02-2017
9941,Watoto Fund,3252056906.3,11708463.39,277.7527,277.7527,274.9751,10-02-2017
9940,Wekeza Maisha Fund,3624971691.96,11603713.99,312.3975,312.3975,306.1496,10-02-2017
9939,Umoja Fund,198464398391.61,425185031.4,466.7718,466.7718,462.1041,10-02-2017
9938,Liquid Fund,9521270992.69,59950603.39,158.8186,158.8186,158.8186,13-02-2017
9937,Jikimu Fund,24435625842.49,201063666.17,121.5318,121.5318,119.1011,13-02-2017
9936,Watoto Fund,3254804707.14,11710191.54,277.9463,277.9463,275.1669,13-02-2017
9935,Wekeza Maisha Fund,3627833008.07,11603713.99,312.6441,312.6441,306.3912,13-02-2017
9934,Umoja Fund,198172922596.06,424262523.11,467.0998,467.0998,462.4288,13-02-2017
9933,Liquid Fund,9695373621.67,61024578.98,158.8765,158.8765,158.8765,14-02-2017
9932,Jikimu Fund,24470338197.45,201263279.76,121.5837,121.5837,119.152,14-02-2017
9931,Watoto Fund,3256712944.04,11714378.59,278.0099,278.0099,275.2298,14-02-2017
9930,Wekeza Maisha Fund,3629465929.13,11605888.99,312.7262,312.7262,306.4717,14-02-2017
9929,Umoja Fund,194356462104.08,416178867.21,467.0022,467.0022,462.3322,14-02-2017
9928,Liquid Fund,10036311976.4,63148249.94,158.9325,158.9325,158.9325,15-02-2017
9927,Jikimu Fund,24475132368.98,201266651.93,121.6055,121.6055,119.1734,15-02-2017
9926,Watoto Fund,3257603831.78,11714882.17,278.074,278.074,275.2932,15-02-2017
9925,Wekeza Maisha Fund,3630979404.8,11607679.69,312.8084,312.8084,306.5522,15-02-2017
9924,Umoja Fund,194407452725.73,416188257.31,467.1142,467.1142,462.4431,15-02-2017
9923,Liquid Fund,10044554903.22,63177297.24,158.9899,158.9899,158.9899,16-02-2017
9922,Jikimu Fund,24463264266.24,201107345.24,121.6428,121.6428,119.21,16-02-2017
9921,Watoto Fund,3258216930.47,11711663.42,278.1387,278.1387,275.3573,16-02-2017
9920,Wekeza Maisha Fund,3633135468.31,11608478.9,312.8906,312.8906,306.6327,16-02-2017
9919,Umoja Fund,193908732631.36,415034861.19,467.2107,467.2107,462.5386,16-02-2017
