No.,Scheme_Name,Net_Asset_Value,Outstanding_Number_of_ Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued
8409,Jikimu Fund,21854644269.4,174995998.72,124.8865,124.8865,122.3888,20-10-2017
8408,Watoto Fund,3528483298.38,11702925.41,301.5044,301.5044,298.4893,20-10-2017
8407,Watoto Fund,3528483298.38,11702925.41,301.5044,301.5044,298.4893,20-10-2017
8406,Wekeza Maisha Fund,1732133708.31,5141932.01,336.8644,336.8644,330.1271,20-10-2017
8405,Wekeza Maisha Fund,1732133708.31,5141932.01,336.8644,336.8644,330.1271,20-10-2017
8404,Umoja Fund,210902432724.94,397574180.24,530.4732,530.4732,525.1684,20-10-2017
8403,Umoja Fund,210902432724.94,397574180.24,530.4732,530.4732,525.1684,20-10-2017
8402,Liquid Fund,14757818710,84525612.24,174.5958,174.5958,174.5958,23-10-2017
8401,Liquid Fund,14757818710,84525612.24,174.5958,174.5958,174.5958,23-10-2017
8400,Jikimu Fund,21824853892.71,174610704.55,124.9915,124.9915,122.4917,23-10-2017
8399,Jikimu Fund,21824853892.71,174610704.55,124.9915,124.9915,122.4917,23-10-2017
8398,Watoto Fund,3530317267.05,11701211.68,301.7053,301.7053,298.6882,23-10-2017
8397,Watoto Fund,3530317267.05,11701211.68,301.7053,301.7053,298.6882,23-10-2017
8396,Wekeza Maisha Fund,1733174552.55,5141932.01,337.0668,337.0668,330.3255,23-10-2017
8395,Wekeza Maisha Fund,1733174552.55,5141932.01,337.0668,337.0668,330.3255,23-10-2017
8394,Umoja Fund,210952691778.5,397410087.64,530.8187,530.8187,525.5105,23-10-2017
8393,Umoja Fund,210952691778.5,397410087.64,530.8187,530.8187,525.5105,23-10-2017
8392,Liquid Fund,14896350614.37,85287369.33,174.6607,174.6607,174.6607,24-10-2017
8391,Liquid Fund,14896350614.37,85287369.33,174.6607,174.6607,174.6607,24-10-2017
8390,Jikimu Fund,21833504097.32,174629825.95,125.0273,125.0273,122.5268,24-10-2017
8389,Jikimu Fund,21833504097.32,174629825.95,125.0273,125.0273,122.5268,24-10-2017
8388,Watoto Fund,3530625470.75,11699638.9,301.7722,301.7722,298.7545,24-10-2017
8387,Watoto Fund,3530625470.75,11699638.9,301.7722,301.7722,298.7545,24-10-2017
8386,Wekeza Maisha Fund,1733521453.11,5141932.01,337.1343,337.1343,330.3916,24-10-2017
8385,Wekeza Maisha Fund,1733521453.11,5141932.01,337.1343,337.1343,330.3916,24-10-2017
8384,Umoja Fund,211000427518.73,397413872.3,530.9337,530.9337,525.6244,24-10-2017
8383,Umoja Fund,211000427518.73,397413872.3,530.9337,530.9337,525.6244,24-10-2017
8382,Liquid Fund,15059867430.73,86191986.77,174.7247,174.7247,174.7247,25-10-2017
8381,Liquid Fund,15059867430.73,86191986.77,174.7247,174.7247,174.7247,25-10-2017
8380,Jikimu Fund,21843373227.77,174658540.15,125.0633,125.0633,122.562,25-10-2017
8379,Jikimu Fund,21843373227.77,174658540.15,125.0633,125.0633,122.562,25-10-2017
8378,Watoto Fund,3533513780.64,11706615.88,301.839,301.839,298.8207,25-10-2017
8377,Watoto Fund,3533513780.64,11706615.88,301.839,301.839,298.8207,25-10-2017
8376,Wekeza Maisha Fund,1733873385.5,5141947,337.2017,337.2017,330.4577,25-10-2017
8375,Wekeza Maisha Fund,1733873385.5,5141947,337.2017,337.2017,330.4577,25-10-2017
8374,Umoja Fund,211091482828.8,397499075.59,531.049,531.049,525.7385,25-10-2017
8373,Umoja Fund,211091482828.8,397499075.59,531.049,531.049,525.7385,25-10-2017
8372,Liquid Fund,15064180520.09,86184752.47,174.7894,174.7894,174.7894,26-10-2017
8371,Liquid Fund,15064180520.09,86184752.47,174.7894,174.7894,174.7894,26-10-2017
8370,Jikimu Fund,21850599492.48,174666136.31,125.0992,125.0992,122.5972,26-10-2017
8369,Jikimu Fund,21850599492.48,174666136.31,125.0992,125.0992,122.5972,26-10-2017
8368,Watoto Fund,3534522100.35,11707361.64,301.9059,301.9059,298.8869,26-10-2017
8367,Watoto Fund,3534522100.35,11707361.64,301.9059,301.9059,298.8869,26-10-2017
8366,Wekeza Maisha Fund,1734699708.28,5142033.02,337.3568,337.3568,330.6096,26-10-2017
8365,Wekeza Maisha Fund,1734699708.28,5142033.02,337.3568,337.3568,330.6096,26-10-2017
8364,Umoja Fund,211137974506.59,397500532.47,531.164,531.164,525.8524,26-10-2017
8363,Umoja Fund,211137974506.59,397500532.47,531.164,531.164,525.8524,26-10-2017
8362,Liquid Fund,15089256851.57,86296593.36,174.8534,174.8534,174.8534,27-10-2017
8361,Liquid Fund,15089256851.57,86296593.36,174.8534,174.8534,174.8534,27-10-2017
8360,Jikimu Fund,21865976871.28,174740504.06,125.134,125.134,122.6313,27-10-2017
8359,Jikimu Fund,21865976871.28,174740504.06,125.134,125.134,122.6313,27-10-2017
8358,Watoto Fund,3535003540.17,11706498.82,301.9693,301.9693,298.9496,27-10-2017
8357,Watoto Fund,3535003540.17,11706498.82,301.9693,301.9693,298.9496,27-10-2017
8356,Wekeza Maisha Fund,1735019124.84,5142121.94,337.4131,337.4131,330.6648,27-10-2017
8355,Wekeza Maisha Fund,1735019124.84,5142121.94,337.4131,337.4131,330.6648,27-10-2017
8354,Umoja Fund,211113851206.9,397368989.32,531.279,531.279,525.9663,27-10-2017
8353,Umoja Fund,211113851206.9,397368989.32,531.279,531.279,525.9663,27-10-2017
8352,Liquid Fund,15107149310.27,86304028.15,175.0457,175.0457,175.0457,30-10-2017
8351,Liquid Fund,15107149310.27,86304028.15,175.0457,175.0457,175.0457,30-10-2017
8350,Jikimu Fund,21840766290.83,174793383.61,124.9519,124.9519,122.4529,30-10-2017
8349,Jikimu Fund,21840766290.83,174793383.61,124.9519,124.9519,122.4529,30-10-2017
8348,Watoto Fund,3508430406.88,11705445.14,299.7264,299.7264,296.7291,30-10-2017
8347,Watoto Fund,3508430406.88,11705445.14,299.7264,299.7264,296.7291,30-10-2017
8346,Wekeza Maisha Fund,1619814924.37,4796838.03,337.6839,337.6839,330.9302,30-10-2017
8345,Wekeza Maisha Fund,1619814924.37,4796838.03,337.6839,337.6839,330.9302,30-10-2017
8344,Umoja Fund,209315417792.57,397370650.04,526.7511,526.7511,521.4836,30-10-2017
8343,Umoja Fund,209315417792.57,397370650.04,526.7511,526.7511,521.4836,30-10-2017
8342,Liquid Fund,15174699969.55,86658211.32,175.1098,175.1098,175.1098,31-10-2017
8341,Liquid Fund,15174699969.55,86658211.32,175.1098,175.1098,175.1098,31-10-2017
8340,Jikimu Fund,21900654148.1,174812510.98,125.2808,125.2808,122.7752,31-10-2017
8339,Jikimu Fund,21900654148.1,174812510.98,125.2808,125.2808,122.7752,31-10-2017
8338,Watoto Fund,3528540732.72,11709188.48,301.348,301.348,298.3345,31-10-2017
8337,Watoto Fund,3528540732.72,11709188.48,301.348,301.348,298.3345,31-10-2017
8336,Wekeza Maisha Fund,1620487337.27,4797655.39,337.7665,337.7665,331.0112,31-10-2017
8335,Wekeza Maisha Fund,1620487337.27,4797655.39,337.7665,337.7665,331.0112,31-10-2017
8334,Umoja Fund,210747132001.51,397414330.33,530.2958,530.2958,524.9928,31-10-2017
8333,Umoja Fund,210747132001.51,397414330.33,530.2958,530.2958,524.9928,31-10-2017
8332,Liquid Fund,15142326061.29,86441125.15,175.175,175.175,175.175,01-11-2017
8331,Liquid Fund,15142326061.29,86441125.15,175.175,175.175,175.175,01-11-2017
8330,Jikimu Fund,21911516261.54,174871316.42,125.3008,125.3008,122.7948,01-11-2017
8329,Jikimu Fund,21911516261.54,174871316.42,125.3008,125.3008,122.7948,01-11-2017
8328,Watoto Fund,3529358022.58,11710950.06,301.3725,301.3725,298.3588,01-11-2017
8327,Watoto Fund,3529358022.58,11710950.06,301.3725,301.3725,298.3588,01-11-2017
8326,Wekeza Maisha Fund,1621032721.2,4798057.61,337.8519,337.8519,331.0948,01-11-2017
8325,Wekeza Maisha Fund,1621032721.2,4798057.61,337.8519,337.8519,331.0948,01-11-2017
8324,Umoja Fund,210764994634.79,397418624.81,530.335,530.335,525.0316,01-11-2017
8323,Umoja Fund,210764994634.79,397418624.81,530.335,530.335,525.0316,01-11-2017
8322,Liquid Fund,15152251492.68,86465614,175.2402,175.2402,175.2402,02-11-2017
8321,Liquid Fund,15152251492.68,86465614,175.2402,175.2402,175.2402,02-11-2017
8320,Jikimu Fund,21865939559.15,174478840.63,125.3214,125.3214,122.815,02-11-2017
8319,Jikimu Fund,21865939559.15,174478840.63,125.3214,125.3214,122.815,02-11-2017
8318,Watoto Fund,3526399199.04,11700181.25,301.397,301.397,298.383,02-11-2017
8317,Watoto Fund,3526399199.04,11700181.25,301.397,301.397,298.383,02-11-2017
8316,Wekeza Maisha Fund,1621745737.55,4798916.27,337.94,337.94,331.1812,02-11-2017
8315,Wekeza Maisha Fund,1621745737.55,4798916.27,337.94,337.94,331.1812,02-11-2017
8314,Umoja Fund,210724443712.42,397218622.94,530.4999,530.4999,525.1949,02-11-2017
8313,Umoja Fund,210724443712.42,397218622.94,530.4999,530.4999,525.1949,02-11-2017
8312,Liquid Fund,15160385874.06,86479886.51,175.3053,175.3053,175.3053,03-11-2017
8311,Liquid Fund,15160385874.06,86479886.51,175.3053,175.3053,175.3053,03-11-2017
8310,Jikimu Fund,21770072720.8,173663251.55,125.358,125.358,122.8508,03-11-2017
8309,Jikimu Fund,21770072720.8,173663251.55,125.358,125.358,122.8508,03-11-2017
8308,Watoto Fund,3528747065.52,11705357.2,301.4643,301.4643,298.4496,03-11-2017
8307,Watoto Fund,3528747065.52,11705357.2,301.4643,301.4643,298.4496,03-11-2017
8306,Wekeza Maisha Fund,1622368961.96,4799568.52,338.0239,338.0239,331.2634,03-11-2017
8305,Wekeza Maisha Fund,1622368961.96,4799568.52,338.0239,338.0239,331.2634,03-11-2017
8304,Umoja Fund,210774940974.01,397232303.22,530.6088,530.6088,525.3027,03-11-2017
8303,Umoja Fund,210774940974.01,397232303.22,530.6088,530.6088,525.3027,03-11-2017
8302,Liquid Fund,15233771487.51,86802112.57,175.5,175.5,175.5,06-11-2017
8301,Liquid Fund,15233771487.51,86802112.57,175.5,175.5,175.5,06-11-2017
8300,Jikimu Fund,21799010758.26,173744934.49,125.4656,125.4656,122.9563,06-11-2017
8299,Jikimu Fund,21799010758.26,173744934.49,125.4656,125.4656,122.9563,06-11-2017
8298,Watoto Fund,3532491515.76,11709942.22,301.666,301.666,298.6493,06-11-2017
8297,Watoto Fund,3532491515.76,11709942.22,301.666,301.666,298.6493,06-11-2017
8296,Wekeza Maisha Fund,1624367606.35,4801725.74,338.2883,338.2883,331.5225,06-11-2017
8295,Wekeza Maisha Fund,1624367606.35,4801725.74,338.2883,338.2883,331.5225,06-11-2017
8294,Umoja Fund,210940342237.93,397289402.7,530.9488,530.9488,525.6393,06-11-2017
8293,Umoja Fund,210940342237.93,397289402.7,530.9488,530.9488,525.6393,06-11-2017
8292,Liquid Fund,15273992130.16,86999169.53,175.5648,175.5648,175.5648,07-11-2017
8291,Liquid Fund,15273992130.16,86999169.53,175.5648,175.5648,175.5648,07-11-2017
8290,Jikimu Fund,21808374964.16,173769947.33,125.5014,125.5014,122.9914,07-11-2017
8289,Jikimu Fund,21808374964.16,173769947.33,125.5014,125.5014,122.9914,07-11-2017
8288,Watoto Fund,3533984172.07,11712283.72,301.7331,301.7331,298.7158,07-11-2017
8287,Watoto Fund,3533984172.07,11712283.72,301.7331,301.7331,298.7158,07-11-2017
8286,Wekeza Maisha Fund,1624805242.25,4801770.09,338.3763,338.3763,331.6088,07-11-2017
8285,Wekeza Maisha Fund,1624805242.25,4801770.09,338.3763,338.3763,331.6088,07-11-2017
8284,Umoja Fund,210997759411.21,397298635.36,531.081,531.081,525.7702,07-11-2017
8283,Umoja Fund,210997759411.21,397298635.36,531.081,531.081,525.7702,07-11-2017
8282,Liquid Fund,15268073235.81,86933265.75,175.6298,175.6298,175.6298,08-11-2017
8281,Liquid Fund,15268073235.81,86933265.75,175.6298,175.6298,175.6298,08-11-2017
8280,Jikimu Fund,21771992800.47,173429283.59,125.5382,125.5382,123.0274,08-11-2017
8279,Jikimu Fund,21771992800.47,173429283.59,125.5382,125.5382,123.0274,08-11-2017
8278,Watoto Fund,3535335635.81,11714156.96,301.8003,301.8003,298.7823,08-11-2017
8277,Watoto Fund,3535335635.81,11714156.96,301.8003,301.8003,298.7823,08-11-2017
8276,Wekeza Maisha Fund,1625327286.23,4802062.74,338.4644,338.4644,331.6951,08-11-2017
8275,Wekeza Maisha Fund,1625327286.23,4802062.74,338.4644,338.4644,331.6951,08-11-2017
8274,Umoja Fund,210966985884.97,397154401.38,531.1964,531.1964,525.8844,08-11-2017
8273,Umoja Fund,210966985884.97,397154401.38,531.1964,531.1964,525.8844,08-11-2017
8272,Liquid Fund,15207718148.8,86557473.2,175.695,175.695,175.695,09-11-2017
8271,Liquid Fund,15207718148.8,86557473.2,175.695,175.695,175.695,09-11-2017
8270,Jikimu Fund,21801196319.97,173521837.88,125.6395,125.6395,123.1267,09-11-2017
8269,Jikimu Fund,21801196319.97,173521837.88,125.6395,125.6395,123.1267,09-11-2017
8268,Watoto Fund,3540411773.78,11714852.91,302.2156,302.2156,299.1935,09-11-2017
8267,Watoto Fund,3540411773.78,11714852.91,302.2156,302.2156,299.1935,09-11-2017
8266,Wekeza Maisha Fund,1622243334.64,4791701.93,338.5526,338.5526,331.7816,09-11-2017
8265,Wekeza Maisha Fund,1622243334.64,4791701.93,338.5526,338.5526,331.7816,09-11-2017
8264,Umoja Fund,211320008821.26,397158002.36,532.0805,532.0805,526.7596,09-11-2017
8263,Umoja Fund,211320008821.26,397158002.36,532.0805,532.0805,526.7596,09-11-2017
8262,Liquid Fund,15214672868.69,86566010.72,175.758,175.758,175.758,10-11-2017
8261,Liquid Fund,15214672868.69,86566010.72,175.758,175.758,175.758,10-11-2017
8260,Jikimu Fund,21809400406.32,173539945.42,125.6737,125.6737,123.1602,10-11-2017
8259,Jikimu Fund,21809400406.32,173539945.42,125.6737,125.6737,123.1602,10-11-2017
8258,Watoto Fund,3540580976.44,11713187.99,302.273,302.273,299.2503,10-11-2017
8257,Watoto Fund,3540580976.44,11713187.99,302.273,302.273,299.2503,10-11-2017
8256,Wekeza Maisha Fund,1622916099.93,4792440.37,338.6409,338.6409,331.868,10-11-2017
8255,Wekeza Maisha Fund,1622916099.93,4792440.37,338.6409,338.6409,331.868,10-11-2017
8254,Umoja Fund,211372183148.03,397170181.69,532.1955,532.1955,526.8735,10-11-2017
8253,Umoja Fund,211372183148.03,397170181.69,532.1955,532.1955,526.8735,10-11-2017
8252,Liquid Fund,15259476925.85,86728165.5,175.946,175.946,175.946,13-11-2017
8251,Liquid Fund,15259476925.85,86728165.5,175.946,175.946,175.946,13-11-2017
8250,Jikimu Fund,21828192043.32,173547902.53,125.7762,125.7762,123.2607,13-11-2017
8249,Jikimu Fund,21828192043.32,173547902.53,125.7762,125.7762,123.2607,13-11-2017
8248,Watoto Fund,3545611586.96,11723119.1,302.4461,302.4461,299.4216,13-11-2017
8247,Watoto Fund,3545611586.96,11723119.1,302.4461,302.4461,299.4216,13-11-2017
8246,Wekeza Maisha Fund,1581979474.23,4667692.37,338.9211,338.9211,332.1427,13-11-2017
8245,Wekeza Maisha Fund,1581979474.23,4667692.37,338.9211,338.9211,332.1427,13-11-2017
8244,Umoja Fund,211526075800.53,397201765.09,532.5406,532.5406,527.2152,13-11-2017
8243,Umoja Fund,211526075800.53,397201765.09,532.5406,532.5406,527.2152,13-11-2017
8242,Liquid Fund,15354938473.07,87239655.68,176.0087,176.0087,176.0087,14-11-2017
8241,Liquid Fund,15354938473.07,87239655.68,176.0087,176.0087,176.0087,14-11-2017
8240,Jikimu Fund,21820854339.06,173484874.09,125.7796,125.7796,123.264,14-11-2017
8239,Jikimu Fund,21820854339.06,173484874.09,125.7796,125.7796,123.264,14-11-2017
8238,Watoto Fund,3543639244.95,11717648.37,302.419,302.419,299.3948,14-11-2017
8237,Watoto Fund,3543639244.95,11717648.37,302.419,302.419,299.3948,14-11-2017
8236,Wekeza Maisha Fund,1582404329.21,4667692.37,339.0121,339.0121,332.2319,14-11-2017
8235,Wekeza Maisha Fund,1582404329.21,4667692.37,339.0121,339.0121,332.2319,14-11-2017
8234,Umoja Fund,211383950881.21,396913720.91,532.569,532.569,527.2433,14-11-2017
8233,Umoja Fund,211383950881.21,396913720.91,532.569,532.569,527.2433,14-11-2017
8232,Liquid Fund,15420998922.86,87583956.85,176.071,176.071,176.071,15-11-2017
8231,Liquid Fund,15420998922.86,87583956.85,176.071,176.071,176.071,15-11-2017
8230,Jikimu Fund,21832925492.33,173533422.18,125.814,125.814,123.2977,15-11-2017
8229,Jikimu Fund,21832925492.33,173533422.18,125.814,125.814,123.2977,15-11-2017
8228,Watoto Fund,3546588752.51,11725159.33,302.4768,302.4768,299.452,15-11-2017
8227,Watoto Fund,3546588752.51,11725159.33,302.4768,302.4768,299.452,15-11-2017
8226,Wekeza Maisha Fund,1582700165.72,4667692.37,339.0755,339.0755,332.294,15-11-2017
8225,Wekeza Maisha Fund,1582700165.72,4667692.37,339.0755,339.0755,332.294,15-11-2017
8224,Umoja Fund,211436112871.94,396922787.54,532.6883,532.6883,527.3614,15-11-2017
8223,Umoja Fund,211436112871.94,396922787.54,532.6883,532.6883,527.3614,15-11-2017
8222,Liquid Fund,15439101015.69,87655713.6,176.1334,176.1334,176.1334,16-11-2017
8221,Liquid Fund,15439101015.69,87655713.6,176.1334,176.1334,176.1334,16-11-2017
8220,Jikimu Fund,21838883970.36,173533422.18,125.8483,125.8483,123.3313,16-11-2017
8219,Jikimu Fund,21838883970.36,173533422.18,125.8483,125.8483,123.3313,16-11-2017
8218,Watoto Fund,3550120970.06,11734582.21,302.5349,302.5349,299.5096,16-11-2017
8217,Watoto Fund,3550120970.06,11734582.21,302.5349,302.5349,299.5096,16-11-2017
8216,Wekeza Maisha Fund,1590369817,4689156.45,339.159,339.159,332.3759,16-11-2017
8215,Wekeza Maisha Fund,1590369817,4689156.45,339.159,339.159,332.3759,16-11-2017
8214,Umoja Fund,211496040468.75,396948742.97,532.8044,532.8044,527.4764,16-11-2017
8213,Umoja Fund,211496040468.75,396948742.97,532.8044,532.8044,527.4764,16-11-2017
8212,Liquid Fund,15383583227.61,87309385.2,176.1962,176.1962,176.1962,17-11-2017
8211,Liquid Fund,15383583227.61,87309385.2,176.1962,176.1962,176.1962,17-11-2017
8210,Jikimu Fund,21849419066.81,173569783.57,125.8826,125.8826,123.365,17-11-2017
8209,Jikimu Fund,21849419066.81,173569783.57,125.8826,125.8826,123.365,17-11-2017
8208,Watoto Fund,3454793522.54,11417051.41,302.5995,302.5995,299.5735,17-11-2017
8207,Watoto Fund,3454793522.54,11417051.41,302.5995,302.5995,299.5735,17-11-2017
8206,Wekeza Maisha Fund,1590809110.67,4689292.11,339.2429,339.2429,332.4581,17-11-2017
8205,Wekeza Maisha Fund,1590809110.67,4689292.11,339.2429,339.2429,332.4581,17-11-2017
8204,Umoja Fund,211401435620.19,396778752.11,532.7942,532.7942,527.4663,17-11-2017
8203,Umoja Fund,211401435620.19,396778752.11,532.7942,532.7942,527.4663,17-11-2017
8202,Liquid Fund,15437540155.51,87509985.44,176.4089,176.4089,176.4089,20-11-2017
8201,Liquid Fund,15437540155.51,87509985.44,176.4089,176.4089,176.4089,20-11-2017
8200,Jikimu Fund,21892772680.91,173748049.84,126.003,126.003,123.4829,20-11-2017
8199,Jikimu Fund,21892772680.91,173748049.84,126.003,126.003,123.4829,20-11-2017
8198,Watoto Fund,3458411688.29,11417877.58,302.8944,302.8944,299.8655,20-11-2017
8197,Watoto Fund,3458411688.29,11417877.58,302.8944,302.8944,299.8655,20-11-2017
8196,Wekeza Maisha Fund,1591988860.66,4689292.11,339.4945,339.4945,332.7046,20-11-2017
8195,Wekeza Maisha Fund,1591988860.66,4689292.11,339.4945,339.4945,332.7046,20-11-2017
8194,Umoja Fund,211548904751.78,396799573.09,533.1379,533.1379,527.8066,20-11-2017
8193,Umoja Fund,211548904751.78,396799573.09,533.1379,533.1379,527.8066,20-11-2017
8192,Liquid Fund,15502930214.02,87849727.43,176.471,176.471,176.471,21-11-2017
8191,Liquid Fund,15502930214.02,87849727.43,176.471,176.471,176.471,21-11-2017
8190,Jikimu Fund,21908944476.99,173828494.14,126.0377,126.0377,123.517,21-11-2017
8189,Jikimu Fund,21908944476.99,173828494.14,126.0377,126.0377,123.517,21-11-2017
8188,Watoto Fund,3460368593.04,11421675.07,302.9651,302.9651,299.9354,21-11-2017
8187,Watoto Fund,3460368593.04,11421675.07,302.9651,302.9651,299.9354,21-11-2017
8186,Wekeza Maisha Fund,1592397055.77,4689336.29,339.5783,339.5783,332.7868,21-11-2017
8185,Wekeza Maisha Fund,1592397055.77,4689336.29,339.5783,339.5783,332.7868,21-11-2017
8184,Umoja Fund,211602993023.03,396816048.23,533.2521,533.2521,527.9196,21-11-2017
8183,Umoja Fund,211602993023.03,396816048.23,533.2521,533.2521,527.9196,21-11-2017
8182,Liquid Fund,15510190301.81,87859933.25,176.5331,176.5331,176.5331,22-11-2017
8181,Liquid Fund,15510190301.81,87859933.25,176.5331,176.5331,176.5331,22-11-2017
8180,Jikimu Fund,21752888234.81,172607221.18,126.0254,126.0254,123.5049,22-11-2017
8179,Jikimu Fund,21752888234.81,172607221.18,126.0254,126.0254,123.5049,22-11-2017
8178,Watoto Fund,3458548733.88,11422002.83,302.797,302.797,299.7691,22-11-2017
8177,Watoto Fund,3458548733.88,11422002.83,302.797,302.797,299.7691,22-11-2017
8176,Wekeza Maisha Fund,1593236526.25,4690649.85,339.6622,339.6622,332.869,22-11-2017
8175,Wekeza Maisha Fund,1593236526.25,4690649.85,339.6622,339.6622,332.869,22-11-2017
8174,Umoja Fund,211513215740.79,396723104.88,533.1507,533.1507,527.8192,22-11-2017
8173,Umoja Fund,211513215740.79,396723104.88,533.1507,533.1507,527.8192,22-11-2017
8172,Liquid Fund,15630467257.55,88510477.03,176.5945,176.5945,176.5945,23-11-2017
8171,Liquid Fund,15630467257.55,88510477.03,176.5945,176.5945,176.5945,23-11-2017
8170,Jikimu Fund,21759153737.11,172608067.19,126.061,126.061,123.5398,23-11-2017
8169,Jikimu Fund,21759153737.11,172608067.19,126.061,126.061,123.5398,23-11-2017
8168,Watoto Fund,3459664759.1,11423092.67,302.8659,302.8659,299.8372,23-11-2017
8167,Watoto Fund,3459664759.1,11423092.67,302.8659,302.8659,299.8372,23-11-2017
8166,Wekeza Maisha Fund,1593750961.5,4691006.23,339.7461,339.7461,332.9512,23-11-2017
8165,Wekeza Maisha Fund,1593750961.5,4691006.23,339.7461,339.7461,332.9512,23-11-2017
8164,Umoja Fund,211580039801.92,396763065.5,533.2655,533.2655,527.9328,23-11-2017
8163,Umoja Fund,211580039801.92,396763065.5,533.2655,533.2655,527.9328,23-11-2017
8162,Liquid Fund,15672425707.08,88717165.24,176.6561,176.6561,176.6561,24-11-2017
8161,Liquid Fund,15672425707.08,88717165.24,176.6561,176.6561,176.6561,24-11-2017
8160,Jikimu Fund,21764820127.77,172604164.8,126.0967,126.0967,123.5748,24-11-2017
8159,Jikimu Fund,21764820127.77,172604164.8,126.0967,126.0967,123.5748,24-11-2017
8158,Watoto Fund,3460548498.79,11423415.4,302.9347,302.9347,299.9053,24-11-2017
8157,Watoto Fund,3460548498.79,11423415.4,302.9347,302.9347,299.9053,24-11-2017
8156,Wekeza Maisha Fund,1594144369.8,4691006.23,339.8299,339.8299,333.0333,24-11-2017
8155,Wekeza Maisha Fund,1594144369.8,4691006.23,339.8299,339.8299,333.0333,24-11-2017
8154,Umoja Fund,211630223920.78,396771808.82,533.3802,533.3802,528.0464,24-11-2017
8153,Umoja Fund,211630223920.78,396771808.82,533.3802,533.3802,528.0464,24-11-2017
8152,Liquid Fund,15733887762.95,88969350.13,176.8462,176.8462,176.8462,27-11-2017
8151,Liquid Fund,15733887762.95,88969350.13,176.8462,176.8462,176.8462,27-11-2017
8150,Jikimu Fund,21791400253.04,172668472.75,126.2037,126.2037,123.6796,27-11-2017
8149,Jikimu Fund,21791400253.04,172668472.75,126.2037,126.2037,123.6796,27-11-2017
8148,Watoto Fund,3463194050.18,11424366.23,303.141,303.141,300.1096,27-11-2017
8147,Watoto Fund,3463194050.18,11424366.23,303.141,303.141,300.1096,27-11-2017
8146,Wekeza Maisha Fund,1595324433.06,4691006.23,340.0815,340.0815,333.2799,27-11-2017
8145,Wekeza Maisha Fund,1595324433.06,4691006.23,340.0815,340.0815,333.2799,27-11-2017
8144,Umoja Fund,211774613892.79,396786781.98,533.724,533.724,528.3867,27-11-2017
8143,Umoja Fund,211774613892.79,396786781.98,533.724,533.724,528.3867,27-11-2017
8142,Liquid Fund,15767416127.28,89126548.87,176.9104,176.9104,176.9104,28-11-2017
8141,Liquid Fund,15767416127.28,89126548.87,176.9104,176.9104,176.9104,28-11-2017
8140,Jikimu Fund,21805113827.67,172707145.41,126.2548,126.2548,123.7297,28-11-2017
8139,Jikimu Fund,21805113827.67,172707145.41,126.2548,126.2548,123.7297,28-11-2017
8138,Watoto Fund,3464689018.74,11425055.89,303.2536,303.2536,300.221,28-11-2017
8137,Watoto Fund,3464689018.74,11425055.89,303.2536,303.2536,300.221,28-11-2017
8136,Wekeza Maisha Fund,1595737738.52,4691065.04,340.1653,340.1653,333.362,28-11-2017
8135,Wekeza Maisha Fund,1595737738.52,4691065.04,340.1653,340.1653,333.362,28-11-2017
8134,Umoja Fund,211891493146.44,396840609.64,533.9461,533.9461,528.6066,28-11-2017
8133,Umoja Fund,211891493146.44,396840609.64,533.9461,533.9461,528.6066,28-11-2017
8132,Liquid Fund,15659744433.43,88485025.44,176.9762,176.9762,176.9762,29-11-2017
8131,Liquid Fund,15659744433.43,88485025.44,176.9762,176.9762,176.9762,29-11-2017
8130,Jikimu Fund,21733426664.36,172068505.22,126.3068,126.3068,123.7807,29-11-2017
8129,Jikimu Fund,21733426664.36,172068505.22,126.3068,126.3068,123.7807,29-11-2017
8128,Watoto Fund,3463135485.89,11415681.63,303.3665,303.3665,300.3328,29-11-2017
8127,Watoto Fund,3463135485.89,11415681.63,303.3665,303.3665,300.3328,29-11-2017
8126,Wekeza Maisha Fund,1596451225.88,4692005.76,340.2492,340.2492,333.4442,29-11-2017
8125,Wekeza Maisha Fund,1596451225.88,4692005.76,340.2492,340.2492,333.4442,29-11-2017
8124,Umoja Fund,211773733530.12,396456824.84,534.1659,534.1659,528.8243,29-11-2017
8123,Umoja Fund,211773733530.12,396456824.84,534.1659,534.1659,528.8243,29-11-2017
8122,Liquid Fund,15686469753.51,88603565.01,177.0411,177.0411,177.0411,30-11-2017
8121,Liquid Fund,15686469753.51,88603565.01,177.0411,177.0411,177.0411,30-11-2017
8120,Jikimu Fund,21780128205.62,172480636.66,126.2758,126.2758,123.7503,30-11-2017
8119,Jikimu Fund,21780128205.62,172480636.66,126.2758,126.2758,123.7503,30-11-2017
8118,Watoto Fund,3460686531.68,11418467.07,303.078,303.078,300.0473,30-11-2017
8117,Watoto Fund,3460686531.68,11418467.07,303.078,303.078,300.0473,30-11-2017
8116,Wekeza Maisha Fund,1596965401.58,4692361.46,340.333,340.333,333.5263,30-11-2017
8115,Wekeza Maisha Fund,1596965401.58,4692361.46,340.333,340.333,333.5263,30-11-2017
8114,Umoja Fund,211522364781.47,396473498.32,533.5095,533.5095,528.1744,30-11-2017
8113,Umoja Fund,211522364781.47,396473498.32,533.5095,533.5095,528.1744,30-11-2017
8112,Liquid Fund,15859851286.48,89451108.94,177.3019,177.3019,177.3019,04-12-2017
